gid,awa_aws_0_12,awa_aws_12_24,awa_aws_24_36,awa_aws_36_48,aws0_12_g80,aws12_24_g80,aws24_36_g80,aws36_48_g80,aws0_12_l20,aws12_24_l20,aws24_36_l20,aws36_48_l20,range_alg_0_12in,range_alg_12_24in,range_alg_24_36in,range_alg_36_48in
1,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
2,2.721481463,2.417264404,1.889672611,1.818606112,2.721481463,2.417264404,1.889672611,1.818606112,2.721488034,2.417270241,1.889677174,1.818610503,0,0,0,0
3,2.594578073,2.383559943,1.863898735,1.8305085,2.594578073,2.383559943,1.863898735,1.8305085,2.594577835,2.383559724,1.863898564,1.830508333,0,0,0,0
4,5.800474785,3.422659962,3.108536994,2.747773888,5.800474785,3.422659962,3.108536994,2.747773888,6.264999427,3.576291631,3.298595459,2.900617886,0.4645,0.1536,0.1901,0.1528
5,2.708326661,2.413772605,1.887002473,1.819842367,2.708326661,2.413772605,1.887002473,1.819842367,2.708329292,2.41377495,1.887004307,1.819844135,0,0,0,0
6,7.399156242,4.349386005,3.362317357,3.023807391,7.399156242,4.349386005,3.362317357,3.023807391,7.399143118,4.349378291,3.362311394,3.023802028,0,0,0,0
7,2.858729871,2.453724587,1.917553993,1.805743458,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0613,0.0163,0.0124,0.0057
8,5.565678459,3.288114236,3.069694629,2.706252877,5.565678459,3.288114236,3.069694629,2.706252877,6.071859366,3.444638114,3.287744894,2.879640128,0.5062,0.1565,0.2181,0.1734
9,2.423959071,2.338239006,1.829241567,1.846503696,2.423959071,2.338239006,1.829241567,1.846503696,2.423959238,2.338239167,1.829241693,1.846503824,0,0,0,0
10,2.388077946,2.328708453,1.821953512,1.849868004,2.28,2.3,1.8,1.86,2.28,2.3,1.8,1.86,0.1081,0.0287,0.022,0.0101
11,2.440310301,2.342582029,1.832562694,1.844970437,2.440310301,2.342582029,1.832562694,1.844970437,2.44031086,2.342582565,1.832563113,1.844970859,0,0,0,0
12,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
13,2.46569193,2.349324417,1.837718643,1.842591391,2.46569193,2.349324417,1.837718643,1.842591391,2.465691922,2.349324409,1.837718637,1.842591385,0,0,0,0
14,9.8500004,6.02,3.5,3.29,9.8500004,6.02,3.5,3.29,9.8500004,6.02,3.5,3.29,0,0,0,0
15,2.879362137,2.459202694,1.921743073,1.803806321,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0406,0.0108,0.0083,0.0038
16,0.892295615,0.754784279,0.589770681,0.550045224,0.892295615,0.754784279,0.589770681,0.550045224,0.892295565,0.754784236,0.589770648,0.550045192,0,0,0,0
17,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
18,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
19,9.8500004,6.02,3.5,3.29,9.8500004,6.02,3.5,3.29,9.8500004,6.02,3.5,3.29,0,0,0,0
20,6.614915623,4.265896315,2.864534843,2.655287033,6.614915623,4.265896315,2.864534843,2.655287033,6.867418855,4.492126403,2.824292479,2.648723476,0.2525,0.2262,0.0402,0.0066
21,2.491347077,2.319779783,1.814242078,1.795686005,2.491347077,2.319779783,1.814242078,1.795686005,2.545980798,2.370651139,1.8540273,1.835064304,0.0546,0.0509,0.0398,0.0394
22,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
23,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
24,2.60025306,2.385024935,1.865017991,1.829924545,2.60025306,2.385024935,1.865017991,1.829924545,2.600317931,2.385084437,1.86506452,1.829970199,0.0001,0.0001,0,0
25,2.400124246,2.331908061,1.824400265,1.848738431,2.28,2.3,1.8,1.86,2.28,2.3,1.8,1.86,0.1201,0.0319,0.0244,0.0113
26,2.412915265,2.33530584,1.826998568,1.847539475,2.412915265,2.33530584,1.826998568,1.847539475,2.41291494,2.335305525,1.826998322,1.847539226,0,0,0,0
27,2.547762802,2.323561583,1.816861762,1.776684887,2.547762802,2.323561583,1.816861762,1.776684887,2.621346777,2.390670223,1.869336,1.827998745,0.0736,0.0671,0.0525,0.0513
28,5.819344669,3.523527538,3.021068786,2.694537969,5.819344669,3.523527538,3.021068786,2.694537969,5.819367009,3.523541065,3.021080384,2.694548313,0,0,0,0
29,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
30,2.461884967,2.348313365,1.83694549,1.842948505,2.461884967,2.348313365,1.83694549,1.842948505,2.461884707,2.348313118,1.836945297,1.842948311,0,0,0,0
31,2.447225797,2.34441966,1.833967957,1.844322969,2.447225797,2.34441966,1.833967957,1.844322969,2.447225343,2.344419225,1.833967616,1.844322627,0,0,0,0
32,6.302841602,3.90697888,2.994056649,2.71322444,6.302841602,3.90697888,2.994056649,2.71322444,6.302819869,3.906965408,2.994046325,2.713215084,0,0,0,0
33,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
34,2.28,2.3,1.8,1.86,2.28,2.3,1.8,1.86,2.28,2.3,1.8,1.86,0,0,0,0
35,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
36,3.956810201,2.411312375,2.758143881,2.393394407,3.956810201,2.411312375,2.758143881,2.393394407,3.956810696,2.411312677,2.758144226,2.393394706,0,0,0,0
37,2.752605675,2.42553422,1.895996643,1.815691214,2.752605675,2.42553422,1.895996643,1.815691214,2.752608344,2.425536572,1.895998481,1.815692975,0,0,0,0
38,2.580040876,2.379698197,1.86094563,1.831870991,2.580040876,2.379698197,1.86094563,1.831870991,2.580041101,2.379698405,1.860945792,1.831871151,0,0,0,0
39,2.880475583,2.436566591,1.903875821,1.775635572,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0395,0.0334,0.0261,0.0244
40,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
41,5.476771547,3.079182641,3.004380623,2.502299582,5.476771547,3.079182641,3.004380623,2.502299582,4.537423249,2.431418283,2.994327095,2.452908911,0.9393,0.6478,0.0101,0.0494
42,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
