parc_gid,awa_aws_0_12,awa_aws_12_24,awa_aws_24_36,awa_aws_36_48,aws0_12_g80,aws12_24_g80,aws24_36_g80,aws36_48_g80,aws0_12_l20,aws12_24_l20,aws24_36_l20,aws36_48_l20,rngalg0_12,rngal12_24,rngal24_36,rngal36_48,logrg0_12,logrg12_24,logrg24_36,logrg36_48
1,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
2,2.721481463,2.417264404,1.889672611,1.818606112,2.721481463,2.417264404,1.889672611,1.818606112,2.721488034,2.417270241,1.889677174,1.818610503,0.0000066,0.0000058,0.0000046,0.0000044,0.0000066,0.0000058,0.0000046,0.0000044
3,2.594578073,2.383559943,1.863898735,1.8305085,2.594578073,2.383559943,1.863898735,1.8305085,2.594577835,2.383559724,1.863898564,1.830508333,0.0000002,0.0000002,0.0000002,0.0000002,0.0000002,0.0000002,0.0000002,0.0000002
4,5.800474785,3.422659962,3.108536994,2.747773888,5.800474785,3.422659962,3.108536994,2.747773888,6.264999427,3.576291631,3.298595459,2.900617886,0.464525,0.153632,0.190058,0.152844,0.381531,0.142915,0.174002,0.142232
5,2.708326661,2.413772605,1.887002473,1.819842367,2.708326661,2.413772605,1.887002473,1.819842367,2.708329292,2.41377495,1.887004307,1.819844135,0.0000026,0.0000023,0.0000018,0.0000018,0.0000026,0.0000023,0.0000018,0.0000018
6,7.399156242,4.349386005,3.362317357,3.023807391,7.399156242,4.349386005,3.362317357,3.023807391,7.399143118,4.349378291,3.362311394,3.023802028,0.0000131,0.0000077,0.000006,0.0000054,0.0000131,0.0000077,0.000006,0.0000054
7,2.858729871,2.453724587,1.917553993,1.805743458,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0612702,0.0162754,0.0124459,0.0057435,0.0594665,0.0161444,0.0123691,0.005727
8,5.565678459,3.288114236,3.069694629,2.706252877,5.565678459,3.288114236,3.069694629,2.706252877,6.071859366,3.444638114,3.287744894,2.879640128,0.506181,0.156524,0.21805,0.173387,0.409577,0.145419,0.197251,0.159894
9,2.423959071,2.338239006,1.829241567,1.846503696,2.423959071,2.338239006,1.829241567,1.846503696,2.423959238,2.338239167,1.829241693,1.846503824,0.0000002,0.0000002,0.0000001,0.0000001,0.0000002,0.0000002,0.0000001,0.0000001
10,2.388077946,2.328708453,1.821953512,1.849868004,2.28,2.3,1.8,1.86,2.28,2.3,1.8,1.86,0.108078,0.0287085,0.0219535,0.010132,0.102627,0.0283041,0.021716,0.010081
11,2.440310301,2.342582029,1.832562694,1.844970437,2.440310301,2.342582029,1.832562694,1.844970437,2.44031086,2.342582565,1.832563113,1.844970859,0.0000006,0.0000005,0.0000004,0.0000004,0.0000006,0.0000005,0.0000004,0.0000004
12,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
13,2.46569193,2.349324417,1.837718643,1.842591391,2.46569193,2.349324417,1.837718643,1.842591391,2.465691922,2.349324409,1.837718637,1.842591385,0,0,0,0,0,0,0,0
14,9.8500004,6.02,3.5,3.29,9.8500004,6.02,3.5,3.29,9.8500004,6.02,3.5,3.29,0,0,0,0,0,0,0,0
15,2.879362137,2.459202694,1.921743073,1.803806321,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.040638,0.0107973,0.0082568,0.0038063,0.039834,0.0107394,0.0082229,0.0037991
16,0.892295615,0.754784279,0.589770681,0.550045224,0.892295615,0.754784279,0.589770681,0.550045224,0.892295565,0.754784236,0.589770648,0.550045192,0.0000001,0,0,0,0.0000001,0,0,0
17,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
18,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
19,9.8500004,6.02,3.5,3.29,9.8500004,6.02,3.5,3.29,9.8500004,6.02,3.5,3.29,0,0,0,0,0,0,0,0
